file_id,md5Checksum,name,processed_at_london
1zns5fRiaerxVHDDhtLh1c3ha8vZBOE8c,64c1f58a984f023bc87a4e383f9cd180,[exporttegus@gmail.com] 2026-02-26T13-59 Boletin Estadistico Comercialización TESTTESTTEST 26-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1GOokuNN3anFoxvrtAUq1jULJDEi1-FRF,1c2c0ae8f6dade88198b46f211a5264f,2026-02-25T13-59 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 25 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1r8lBXFcIsBudpIwwp_5tUW63d6BxNNH7,d728f2cf4f9cd7e62b3650d760001a18,2026-02-23T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 23 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1R07K0AYetQ75wqSDApHc9O9GsTFjTSzm,cdd4ba7043ae2d47e220e30d1e22684c,[exporttegus@gmail.com] 2026-02-23T14-04 Boletin Estadistico Comercialización 23-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1i7oAN0V5ptKkxvfnTt6fGLAG0zhSRv_f,d240f4565497f48f46ed1d1f218e570b,[exporttegus@gmail.com] 2026-02-25T13-59 Boletin Estadistico Comercialización 25-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1M41iibuTX-LV0Z1JkKuh70CgniO_FXQm,6a3f3eb1b12865101a9cf561b3f64c6e,2026-02-24T14-12 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 24 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1JDTn12dCn9q9DxJx3MOUtEMIxf-pwEf_,d97321c8b27ef8a1214b8a7e5ab0b03f,[exporttegus@gmail.com] 2026-02-26T12-59 Boletin Estadistico Comercialización TESTTESTTEST 26-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1jneQMHyXp0Ne_SMFmNShQgWIi_PvS4qx,0f705dd62e461ed2369c6403a9a5d730,[exporttegus@gmail.com] 2026-02-24T14-12 Boletin Estadistico Comercialización 24-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
19yffvHhFROn0193Z1HTsM6fVHQZKVUSy,f3277a1733a24df4fcbbbf5035e08566,[exporttegus@gmail.com] 2026-02-20T14-08 Boletin Estadistico Comercialización 20-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
14TFzWRNhsdlOHSKYmLWWdhaqwxbigxnA,288ef69ec1e414ee3f8d73af80efecd8,2026-02-19T14-16 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 19 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1nWYK_io2EPNood47eCwEan9tJL3cTnTU,31c8d86453525ba8569b3351c69d41ed,[exporttegus@gmail.com] 2026-02-19T14-16 Boletin Estadistico Comercialización 19-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1W0xcvO8wFqcEtgs2F7F1uCB4NZne04Rj,6af902b4b034b15a96e0f308045bd783,[exporttegus@gmail.com] 2026-02-17T14-10 Boletin Estadistico Comercialización 17-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1nS2PI88qy3ALmJnOlMA2UBp9ILsKN3Kh,1ee00c529eba6d264d32a83e3236da8f,2026-02-18T14-06 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 18 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1LPwmBtcS72r339jD_uR63jl7S9JHevvV,4ec5624822a50b16faa8875212fb2687,[exporttegus@gmail.com] 2026-02-18T14-06 Boletin Estadistico Comercialización 18-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
19TmecFvYI57do3rrg1q_udA0D6PPoZdc,8277f856f87e62c61748e7954de06f2f,2026-02-20T14-08 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 20 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1Y-x3r9VUlm7Iu-RWl2eClwbOmsO5zfVG,ae04289f0cfb6d5659ecc24a85ca7bf5,[exporttegus@gmail.com] 2026-02-16T13-57 Boletin Estadistico Comercialización 16-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1C4K8DbXKU_H0j2ZyTCHxm11bzC8FGdIZ,8034fb292d26d5623b534af978e3514c,2026-02-17T14-10 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 17 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1tQLjqUkHKHvggBxj_tPmD9FDhnOQ3eM1,914c0aeb3b8213850f998a2ccee7bb79,[exporttegus@gmail.com] 2026-02-13T14-05 Boletin Estadistico Comercialización 13-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1Z67dzf_SdP69KbI79pUUTqS91ZHBA64q,8d3598b882964f19e3531f6ec51942f8,[exporttegus@gmail.com] 2026-02-12T14-03 Boletin Estadistico Comercialización 12-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1gj-8AAxKL8VL9hrHIvnQZVeqvABnWtGq,27ca4d5b873a4ef4619b8c6640dc7897,2026-02-13T14-05 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 13 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1HkylAekLoMMS_-Mg1MyhPW714wYbLI5i,5a2b810c8437dcac7f9651b68c77bc52,2026-02-12T14-03 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 12 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1_hSBywbiTOOHCmHQrwkohiMVLCN8P-mr,5c347b1eced0b105c2a6472c8d21d14a,2026-02-16T13-57 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 16 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
17cc1F-Rd7f1-mxGm-rA2Za9Dmjbd9gYN,35e9349ad9040aad8e11c6cbc85d0cd3,[exporttegus@gmail.com] 2026-02-11T14-05 Boletin Estadistico Comercialización 11-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1xCkY5fvWoQ-laijA3YarV2hPkUYWzfLw,fefb99a95185337d10dafbc2745a84d9,2026-02-11T14-05 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 11 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1Ssz6ofkXmrxKHYgQ83y-A9bFkFb0GQY0,bf7ae30b42188cdf337b9e7445a22f57,[exporttegus@gmail.com] 2026-02-10T14-08 Boletin Estadistico Comercialización 10-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1vO8lHTMzYYYH-twejQ4fIG_hA0Kxn6en,b6e731263cd09884e461eaf136c54106,[exporttegus@gmail.com] 2026-02-09T14-04 Boletin Estadistico Comercialización 09-02-2026.pdf,2026-02-26T09:42:00.112210+00:00
1df6F-KuPkTgYP4Ch4AipuAxWO4FQD3te,d488879ddeeacf99e0ed771ec0caf3ab,2026-02-10T14-08 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 10 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1Nu3FD9Of_Gl_-uMNH3PrWqtb2BkM_dwS,212477ac226c06d4b707455d7c163c6f,2026-01-26T09-00 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 26 de Enero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1JnisTMtlTub9QCrAEFOt1qZ7go_VeFs9,ebde1a4a9b99ef08daa8d6c722e7761f,[exporttegus@gmail.com] 2026-01-26T09-00 Boletin Estadistico Comercialización 26-01-2026.pdf,2026-02-26T09:42:00.112210+00:00
1FPN9UKPGzkH18rlANqZgWcDZGxiBJi1X,27abfd0dea64d39aa8f89bace657d75f,[exporttegus@gmail.com] 2026-01-19T09-00 Boletin Estadistico Comercialización 19-01-2026.pdf,2026-02-26T09:42:00.112210+00:00
1W6Rp9zUZgo6Y1NBSXtBlG0ONHjpfLOhz,0e4ebf7663b56db22ee4c8b483a415e1,2026-02-09T14-04 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 09 de Febrero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1aPtYjhMlMFh7ZKsO0xYneQuK2dUOG4Mt,95697b56fb17c0a1db78c234b2f89a73,2026-01-19T09-00 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 19 de Enero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
10Bv2NQmPQO6Xwj4UzJCcqnF_lsf3K1PG,4b51caa76dbeb59bc4c3d26a39d29bab,2026-01-15T09-00 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 15 de Enero de 2026.pdf,2026-02-26T09:42:00.112210+00:00
1WrW-gsuUXuz9hNZ_MNvP4pwjoROoAgl2,fb88235f9384c47d687282506fa4cac5,[exporttegus@gmail.com] 2026-01-13T09-00 Boletin Estadistico Comercialización 13-01-2026.pdf,2026-02-26T09:42:00.112210+00:00
1U9lm01XRfBLyDld2GF4RvhEzrsjMnH9D,c3a5f27b4a16a6b92aa3e43136cb0c59,[exporttegus@gmail.com] 2026-01-15T09-00 Boletin Estadistico Comercialización 15-01-2026.pdf,2026-02-26T09:42:00.112210+00:00
1QPS0LKDKaWFAR1QF7kNne8yaAhVmtios,360d9de6713bb03682bf1ebfc65e8b3d,[exporttegus@gmail.com] 2026-01-12T09-00 Boletin Estadistico Comercialización 12-01-2026.pdf,2026-02-26T09:42:00.112210+00:00
