report_name,file,file_id,error
2026-02-19T15-03 [support@cloudhq.net] Save Emails to Google Drive: The first save of your email messages is done. Your backup will keep running in the background.,2026-02-19T15-03 [support@cloudhq.net] Save Emails to Google Drive: The first save of your email messages is done. Your backup will keep running in the background..pdf,194Hf3P5QJy5sjfmaiG4cRgLm143yImdT,Pattern 'Exportaciones Mensuales' not found on last page
2025-04-29T15-06 [exporttegus@gmail.com] Cierre de Bolsa ICE al 29 de Abril de 2025,2025-04-29T15-06 [exporttegus@gmail.com] Cierre de Bolsa ICE al 29 de Abril de 2025.pdf,1AwUgCrGB4bONqf-u10LTC1gPG-juwun8,Pattern 'Exportaciones Mensuales' not found on last page
"2025-02-28T10-59 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 27Feb2025","2025-02-28T10-59 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 27Feb2025.pdf",1bqcyu3rWRhf6MFzSQHRxZ4Wxg6Jt3XkH,Pattern 'Exportaciones Mensuales' not found on last page
2024-08-05T15-22 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 05 de Agosto de 2024,2024-08-05T15-22 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 05 de Agosto de 2024.pdf,1OW2IaNZS3RzsIHmjjljCcKpPxI0w0wPu,Pattern 'Exportaciones Mensuales' not found on last page
"2023-05-19T12-00 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 18May2023","2023-05-19T12-00 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 18May2023.pdf",1crvhXL73VZ3xD6fqtVGRAdUJGiKvesn5,Pattern 'Exportaciones Mensuales' not found on last page
2022-11-15T14-10 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 15 de Noviembre de 2022,2022-11-15T14-10 [exporttegus@gmail.com] Boletín Estadístico IHCAFE al 15 de Noviembre de 2022.pdf,1xlOpQARI9fiOg1t2Kz7tFdGKTIAjI4hB,Pattern 'Exportaciones Mensuales' not found on last page
"2022-07-01T12-00 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 30Jun2022","2022-07-01T12-00 [exporttegus@gmail.com] Compras, Ventas y Exportaciones al 30Jun2022.pdf",1KWDJbuaEkcXnD-Pu5CLRpUtEBX3J3uEU,Pattern 'Exportaciones Mensuales' not found on last page
2020-12-30T14-08 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 30 de Diciembre de 2020,2020-12-30T14-08 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 30 de Diciembre de 2020.pdf,17r2F6uddzAYQeVyMoRdsj62r3-NVIf4_,Pattern 'Exportaciones Mensuales' not found on last page
2020-12-23T14-54 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 23 de Diciembre de 2020,2020-12-23T14-54 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 23 de Diciembre de 2020.pdf,1im3eeG6T2GaVxQXs0dBTYML1JubplPIw,Pattern 'Exportaciones Mensuales' not found on last page
2020-12-29T14-44 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 29 de Diciembre de 2020,2020-12-29T14-44 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 29 de Diciembre de 2020.pdf,11_rp0bFGcX2gBQPbpJRmZKeS0D5cNplC,Pattern 'Exportaciones Mensuales' not found on last page
2020-12-28T14-23 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 28 de Diciembre de 2020,2020-12-28T14-23 [exporttegus@gmail.com] Boletín Estadístico IHCAFE 28 de Diciembre de 2020.pdf,18SLdg3yjNghkpeoD7MBP1Wm__AKthdpw,Pattern 'Exportaciones Mensuales' not found on last page
